U4 step 2: jsteer word_vector_vjp vs regenerated run-524 vector
model=Qwen/Qwen3-4B prompts=400 words=['authority', 'obey', 'command', 'hierarchy']

  layer    cos(jsteer_vjp, ref524)
-------  -------------------------
      7                  +1.000000
      8                  +1.000000
      9                  +1.000000
     10                  +1.000000
     11                  +1.000000
     12                  +1.000000
     13                  +1.000000
     14                  +1.000000
     15                  +1.000000
     16                  +1.000000
     17                  +1.000000
     18                  +1.000000
     19                  +1.000000
     20                  +1.000000
     21                  +1.000000
     22                  +1.000000
     23                  +1.000000
     24                  +1.000000
     25                  +1.000000
     26                  +1.000000
     27                  +1.000000

min cos = +1.000000   GATE (>0.999): PASS
